source,target,color
59658,73156,16
59658,74231,16
59658,76402,16
59658,77411,16
59658,77430,16
59658,78397,16
59658,80254,16
59658,80255,16
59658,80270,16
59658,82156,20
59658,82173,20
59659,60778,0
59659,62068,0
59659,62083,0
59659,81243,16
59659,70880,0
59659,60751,4
59659,60738,4
59659,59590,4
59659,80276,16
59659,60779,0
59659,62069,0
59659,62082,0
59659,62098,0
59659,63279,0
59659,63325,0
59659,70870,0
59659,59656,4
59659,63278,0
59659,68769,0
59659,70871,0
59659,73156,16
59659,74231,16
59659,76402,16
59659,77411,16
59659,77430,16
59659,78397,16
59659,80254,16
59659,80255,16
59659,80270,16
59659,82156,20
59659,82157,20
59659,82173,20
60686,60751,4
60686,60752,4
60686,62067,4
60686,59581,4
60686,60738,4
60686,59590,4
60686,59604,4
60686,59625,4
60686,62079,4
60686,60737,4
60686,60765,4
60686,62066,4
60719,62012,4
60719,63233,4
60719,60739,0
60719,60751,4
60719,62067,4
60719,60738,4
60719,59604,4
60719,63242,4
60719,64358,4
60719,64369,4
60719,64370,4
60719,59625,4
60719,64343,4
60719,199029,5
60719,200111,5
60719,201234,5
60719,59650,0
60719,59656,4
60719,60720,0
60719,60721,0
60719,60737,4
60719,60740,0
60719,62066,4
60766,60769,0
60766,60778,0
60766,62083,0
60766,62084,0
60766,64359,4
60766,60751,4
60766,62067,4
60766,60738,4
60766,59604,4
60766,59625,4
60766,60754,4
60766,60757,0
60766,60779,0
60766,62055,0
60766,62069,0
60766,62082,0
60766,62098,0
60766,63279,0
60766,62080,0
60766,63294,0
60766,59656,4
60766,63278,0
60766,75278,0
60766,63308,0
60766,63311,0
60766,63326,0
60766,64390,0
60766,64407,0
60766,64437,0
60766,66629,0
60766,75308,0
60766,60737,4
60766,62097,0
60766,63310,0
60766,76385,4
60766,60768,0
60766,62099,0
60766,62112,0
60766,63291,0
60766,63312,0
60766,64406,0
60766,64422,0
60766,65588,0
60766,78412,4
60766,79311,4
60766,79324,4
60766,62096,0
60766,62066,4
60766,65551,0
60766,63295,0
60767,60769,0
60767,60778,0
60767,62068,0
60767,62083,0
60767,62084,0
60767,63264,0
60767,58509,4
60767,60754,4
60767,60779,0
60767,62069,0
60767,62082,0
60767,62098,0
60767,79286,4
60767,63279,0
60767,63294,0
60767,70888,0
60767,63278,0
60767,63311,0
60767,63326,0
60767,64390,0
60767,71927,0
60767,72998,0
60767,78364,0
60767,62097,0
60767,63310,0
60767,60768,0
60767,62099,0
60767,62112,0
60767,64406,0
60767,64422,0
60767,65588,0
60767,72043,4
60767,76369,4
60767,76381,4
60767,63280,0
60769,62056,0
60769,62068,0
60769,62070,0
60769,62081,0
60769,62083,0
60769,62084,0
60769,63264,0
60769,67621,0
60769,60739,0
60769,58509,4
60769,67622,0
60769,67630,0
60769,60751,4
60769,60752,4
60769,60738,4
60769,60741,0
60769,60753,0
60769,60754,4
60769,60757,0
60769,60779,0
60769,62055,0
60769,62069,0
60769,62082,0
60769,62098,0
60769,63279,0
60769,59650,0
