id,extid,group,bridgeness,influence,degree,x,y,z
86,65515,10,6.56077,10,18,-16.6033,-2.0824,88.6321
87,65526,10,12.33161,10,26,-16.2405,-2.0929,87.362
88,66603,11,3.79901,9,14,-16.3254,-1.3353,87.4221
89,195914,10,5.18474,40,46,23.2013,-2.433,85.7828
90,195927,10,0.04215,42,42,22.9221,-2.7126,85.1489
91,196969,10,0.03813,38,38,22.8714,-2.0571,85.5115
92,196975,10,8.69710,120,128,22.5272,-2.4257,84.6902
93,197942,10,0.01706,17,17,23.2919,-1.2182,87.4199
94,199010,10,9.92036,36,45,22.9554,-0.21888,87.1333
95,199017,10,13.32787,56,68,22.6046,-0.30621,85.6792
96,59604,4,4.17755,29,33,-15.4529,-6.2644,87.9295
97,63242,4,0.90443,21,22,-15.6323,-4.3235,87.5476
98,64358,4,6.82134,31,37,-15.875,-3.0763,87.1062
99,64369,4,4.81147,20,25,-15.756,-2.7346,86.5518
100,64370,4,4.60213,19,24,-16.0038,-2.7783,87.1951
101,59625,4,4.30442,29,33,-15.5649,-6.0938,87.304
102,62054,4,9.01456,12,27,-15.4288,-4.9043,86.3441
103,64343,10,4.62394,7,15,-16.7503,-2.8454,90.7319
104,199029,5,14.38796,28,49,24.0237,0.0045609,84.9233
105,200111,6,7.79117,41,46,24.3262,1.172,85.3486
106,201234,6,7.99087,34,39,24.9807,2.42,85.1445
107,59630,0,2.40894,5,9,-18.3954,-5.4354,88.5043
108,60741,0,11.63087,45,54,-18.6708,-4.4566,87.2919
109,73136,16,38.00315,59,96,-26.9775,5.7181,75.8929
110,74195,16,26.09651,54,79,-27.3494,6.1127,76.0633
111,75294,16,11.40099,21,34,-27.666,6.757,76.1488
112,80276,16,40.75025,80,117,-28.0943,9.1304,76.7365
113,60753,0,15.28524,50,63,-15.9506,-5.2968,85.2887
114,60754,4,0.02910,29,29,-16.268,-5.3118,85.4776
115,60757,0,37.22245,73,107,-18.2899,-4.2199,86.498
116,60779,0,11.66116,54,63,-16.6381,-4.2301,84.4497
117,62055,0,17.21403,67,80,-18.5464,-4.0565,86.6547
118,62069,0,15.01179,59,71,-18.1142,-3.8372,85.9778
119,62082,0,5.05419,82,86,-16.9054,-4.045,84.5167
120,62098,0,3.86134,73,76,-16.5829,-3.795,84.0454
121,63241,4,5.09759,22,27,-15.6786,-3.5554,86.9266
122,63263,4,0.02609,26,26,-15.4136,-4.1304,85.7351
123,64350,4,4.26334,16,22,-16.5556,-3.1051,89.309
124,64378,0,20.52230,50,72,-15.3726,-2.8252,85.4108
125,65507,4,8.52084,16,25,-16.8643,-1.8872,90.0499
126,65525,11,11.24471,9,23,-15.9339,-2.0074,86.643
127,65550,0,19.79234,53,70,-15.1235,-1.961,84.7942
128,66602,11,11.24470,9,23,-16.094,-1.3136,86.8133
129,69818,7,3.23782,42,45,-24.6313,3.197,83.4334
130,75309,16,21.85979,67,88,-27.6864,7.0246,76.0704
131,76395,7,4.26363,39,43,-22.7603,5.2064,74.8619
132,79286,16,20.90218,45,64,-27.9002,7.8154,77.6357
133,203418,12,2.64190,9,12,22.3058,3.2728,89.2217
134,204357,12,5.49089,6,13,22.4226,3.9936,88.6406
135,204358,12,2.41117,6,9,22.241,4.1451,89.8093
136,208097,10,18.83301,31,58,29.6431,4.8729,80.8453
137,208098,8,38.72583,88,130,27.9465,4.2059,80.9734
138,208112,10,10.98704,32,45,28.2287,4.1074,80.056
139,209054,6,29.09655,49,79,30.2001,6.9599,80.8847
140,209055,8,29.26824,38,76,30.1413,6.6156,81.2992
141,209063,10,1.52403,28,29,30.4211,7.6135,80.8534
142,209976,10,8.95681,35,44,30.8154,8.5096,80.8606
143,63279,0,0.39141,36,36,-18.6398,-3.0605,86.6107
144,63325,0,0.06021,60,60,-16.0328,-3.0257,83.1618
145,66618,0,11.58260,50,59,-15.2679,-1.088,85.222
146,67645,0,11.78445,36,47,-15.1069,-0.33484,84.7098
147,70903,22,15.79064,58,70,-27.8617,4.6492,83.6342
148,73135,16,33.36566,60,94,-26.4436,5.1354,75.5952
149,76353,16,21.22971,29,56,-24.3482,4.3894,77.3366
150,76354,16,9.63647,26,35,-29.1864,8.6892,78.5136
151,76355,16,7.32241,14,21,-29.4604,9.1607,79.0881
152,77382,16,8.47138,21,31,-29.0772,9.5676,78.1661
153,77395,16,17.68203,44,63,-25.9521,4.751,76.7264
154,81219,0,5.86490,11,20,-28.388,10.9808,77.1159
155,81242,16,38.33675,49,93,-28.4463,11.4679,76.2365
156,82169,18,0.06724,67,67,-28.7089,12.4081,76.1289
157,82179,16,35.58138,31,70,-28.4172,11.4583,76.2579
158,82180,18,50.21652,41,115,-28.7242,12.1068,76.0932
159,83131,18,0.08028,80,80,-28.7527,12.7199,76.0562
160,59650,0,0.05018,50,50,-17.7092,-5.5163,87.9116
161,62080,0,9.76486,56,64,-15.9446,-4.5763,84.455
162,63294,0,0.12705,46,46,-17.7746,-3.0137,85.4351
163,65587,3,19.53017,41,67,-16.7845,-0.74897,84.4313
164,65603,0,17.94511,70,84,-14.9168,-1.6355,82.2914
165,65606,3,21.65426,70,92,-16.5375,-0.86012,83.7831
166,66643,3,19.71542,41,67,-16.8217,-0.27787,84.4436
167,66655,3,17.42290,37,60,-16.6967,0.008768,84.085
168,68679,3,33.31350,54,92,-15.8443,0.652,86.0861
169,69858,3,13.44547,49,60,-15.7871,2.1171,82.0336
170,69871,3,8.56859,17,24,-15.9568,2.7059,81.4441
171,70870,3,57.17785,71,136,-16.1191,2.2075,85.5911
172,70888,3,22.96335,28,53,-15.4911,2.013,83.5847
173,73083,22,24.46575,37,69,-27.6436,6.2636,77.5661
174,74176,16,10.77416,16,27,-27.9153,6.9482,77.3949
175,75205,0,26.90671,37,69,-15.2707,7.3457,81.2508
176,77380,0,7.70576,14,25,-25.8805,4.6473,77.7402
177,77381,16,5.90694,27,32,-26.928,5.5318,77.1029
178,77397,16,9.18441,40,48,-28.7186,9.6637,77.6906
179,79298,16,26.26949,41,67,-27.9024,7.8601,76.9585
180,80267,16,30.38856,36,68,-27.8757,9.0418,77.1628
181,80268,16,10.41488,24,34,-29.1905,11.8201,77.2612
182,80269,16,9.55593,20,29,-29.8513,12.421,77.5643
183,81244,20,17.02570,20,39,-28.9599,12.4412,76.1719
184,84104,12,9.50669,11,21,-31.0168,14.5033,76.1759
185,84105,20,11.89169,14,28,-31.6917,14.7272,76.0356
186,201168,6,4.81483,6,12,22.3615,1.3238,88.5223
187,59656,4,7.95508,65,72,-15.8941,-5.4614,85.595
188,59657,0,16.41035,28,45,-16.0321,-5.6027,85.7822
189,63278,0,7.26448,71,77,-18.2307,-3.2907,86.093
190,68769,3,9.59275,43,51,-15.8857,1.9539,81.8466
191,70871,0,2.48930,17,19,-16.5044,3.0255,85.9608
192,72044,16,25.37555,54,76,-27.004,5.2846,76.5436
193,73094,16,12.05282,48,60,-27.1618,5.7854,76.6202
194,73113,16,25.37337,60,84,-27.3725,6.001,76.5152
195,73156,16,15.28440,39,56,-24.8525,4.4089,74.3432
196,74231,16,17.59686,38,60,-24.3441,4.627,74.2654
197,75278,0,15.46001,25,45,-28.1942,7.7627,77.1206
198,75310,16,6.78577,22,28,-27.7775,7.3453,76.23
199,76402,16,1.22358,19,20,-28.0495,8.0054,76.3671
200,77411,16,0.03111,31,31,-28.3906,9.7844,77.3076
201,77430,16,0.01907,19,19,-28.1254,9.0247,76.445
202,78397,16,0.02810,28,28,-28.2201,10.2742,77.0136
203,80254,16,12.28641,30,42,-29.9204,12.0916,78.1633
204,80255,16,8.90450,29,38,-30.613,12.6863,78.3691
205,80270,16,9.10493,29,38,-30.5508,12.9441,77.8354
206,82156,20,0.02007,20,20,-32.1215,14.2054,77.5083
207,82157,20,4.86721,25,28,-32.6306,14.3089,78.0128
208,82173,20,0.02810,28,28,-32.3467,14.3868,77.4168
209,86759,20,4.79951,18,24,-35.946,16.1259,78.1525
210,62079,0,28.43191,68,99,-15.6218,-4.363,84.5816
211,62095,0,18.85882,87,104,-15.597,-3.9722,83.9769
212,63292,0,19.06173,87,104,-15.4663,-3.8082,84.0691
213,60720,0,13.70818,82,93,-18.4079,-5.1852,88.095
214,63307,0,6.62520,64,69,-15.0726,-3.0873,83.4003
215,63308,0,16.73835,89,103,-15.403,-3.433,83.6047
216,63311,0,13.76555,77,88,-17.0032,-3.1072,84.259
217,63322,0,10.72631,78,87,-15.0771,-2.925,83.0641
218,63323,0,9.38382,80,88,-15.3324,-2.9355,83.0127
219,63326,0,26.35346,78,101,-16.4891,-3.0143,83.5397
220,63327,0,26.68985,46,87,-16.6434,-2.3838,83.7658
221,64390,0,10.62643,88,96,-18.5187,-2.0539,86.892
222,64407,0,0.05319,53,53,-18.1588,-2.2695,86.2645
223,64420,0,0.06422,64,64,-14.9022,-2.527,82.9321
224,64437,3,29.61693,48,96,-16.3696,-1.8747,83.2154
225,66610,0,41.63850,43,101,-15.7104,-0.93406,86.0904
226,66629,0,16.91489,59,73,-14.7882,-1.1391,84.2914
227,67629,0,0.00602,6,6,-16.2326,-0.1665,86.9059
228,68686,3,8.71154,19,30,-15.3648,0.47362,85.1262
229,69770,0,0.01540,8,8,-17.196,2.0437,88.0517
230,69780,3,49.03960,74,125,-16.3647,1.6635,86.4856
231,69781,0,0.37839,11,11,-16.7759,1.9459,87.2652
232,69841,3,10.87548,48,58,-15.3987,1.4157,82.6542
233,69873,7,37.93079,32,77,-25.4784,3.1424,79.7879
234,69874,22,44.98411,26,88,-26.1202,3.4786,79.5336
235,70860,3,48.21603,78,125,-16.4837,2.396,86.2715
236,70861,0,2.66941,15,17,-16.9929,2.7428,87.1194
237,70879,3,17.03764,19,39,-15.6394,1.9366,84.5605
238,71927,0,17.23405,24,47,-16.9092,3.9395,86.5498
239,72998,0,19.73106,17,43,-16.6997,4.9008,85.8963
240,73063,16,15.98771,32,45,-28.1355,5.8367,79.0005
241,74073,11,16.61795,12,38,-16.7854,5.8598,86.3729
242,74164,0,25.74119,25,60,-28.4277,7.3424,78.0553
243,75246,16,19.95805,26,56,-29.1931,7.8707,78.6717
244,75306,16,0.03613,36,36,-26.5076,5.5002,75.427
245,75308,16,24.46177,58,86,-27.369,6.4358,75.9475
246,75327,7,30.76877,37,77,-24.9684,4.7107,74.6901
247,76401,16,9.79480,65,73,-27.913,7.595,76.0794
248,77369,16,5.49061,18,25,-26.9335,5.483,78.0518
249,77409,16,0.09834,98,98,-26.7424,5.4609,75.8176
250,78364,16,13.17164,25,40,-27.7603,6.4726,78.3159
